,ip,time,request,status,size,referer,user_agent
0,83.149.9.216,2015-05-17 10:05:03+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-search.png HTTP/1.1,200,203023,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
1,83.149.9.216,2015-05-17 10:05:43+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
2,83.149.9.216,2015-05-17 10:05:47+00:00,GET /presentations/logstash-monitorama-2013/plugin/highlight/highlight.js HTTP/1.1,200,26185,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
3,83.149.9.216,2015-05-17 10:05:12+00:00,GET /presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js HTTP/1.1,200,7697,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
4,83.149.9.216,2015-05-17 10:05:07+00:00,GET /presentations/logstash-monitorama-2013/plugin/notes/notes.js HTTP/1.1,200,2892,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
5,83.149.9.216,2015-05-17 10:05:34+00:00,GET /presentations/logstash-monitorama-2013/images/sad-medic.png HTTP/1.1,200,430406,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
6,83.149.9.216,2015-05-17 10:05:57+00:00,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf HTTP/1.1,200,38720,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
7,83.149.9.216,2015-05-17 10:05:50+00:00,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf HTTP/1.1,200,41820,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
8,83.149.9.216,2015-05-17 10:05:24+00:00,GET /presentations/logstash-monitorama-2013/images/frontend-response-codes.png HTTP/1.1,200,52878,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
9,83.149.9.216,2015-05-17 10:05:50+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard.png HTTP/1.1,200,321631,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
